Taxid	Virus Name	Parent Viral Name	Baltimore	Family	Host
386032	Reston ebolavirus - Reston (1989)	Reston ebolavirus	(-)ssRNA	Filoviridae	"human,vertebrates"
1933187	Rift Valley fever phlebovirus	Rift Valley fever phlebovirus	(-)ssRNA	Phenuiviridae	"human,invertebrates,vertebrates"
11589	Rift valley fever virus (strain ZH-548 M12)	Rift valley fever virus	(-)ssRNA	Phenuiviridae	"human,invertebrates,vertebrates"
36409	Rinderpest virus (strain RBOK)	Rinderpest virus	(-)ssRNA	Paramyxoviridae	vertebrates
11241	Rinderpest virus (strain Sa)	Rinderpest virus	(-)ssRNA	Paramyxoviridae	vertebrates
28875	Rotavirus A	Rotavirus A	dsRNA	Reoviridae	"human,vertebrates"
578843	Rotavirus A human/BEL/4106/2000 G3P11[14]	Rotavirus A	dsRNA	Reoviridae	"human,vertebrates"
11886	Rous sarcoma virus	Rous sarcoma virus	ssRNA-RT	Retroviridae	vertebrates
11887	Rous sarcoma virus (strain H-19)	Rous sarcoma virus	ssRNA-RT	Retroviridae	vertebrates
11888	Rous sarcoma virus (strain Prague C)	Rous sarcoma virus	ssRNA-RT	Retroviridae	vertebrates
11041	Rubella virus	Rubella virus	(+)ssRNA	Togaviridae	human
11043	Rubella virus (strain M33)	Rubella virus	(+)ssRNA	Togaviridae	human
11044	Rubella virus (strain RA27/3 vaccine)	Rubella virus	(+)ssRNA	Togaviridae	human
11045	Rubella virus (strain Therien)	Rubella virus	(+)ssRNA	Togaviridae	human
227859	SARS coronavirus	SARS-CoV-1	(+)ssRNA	Coronaviridae	"human,vertebrates"
228404	SARS coronavirus HKU-39849	SARS-CoV-1	(+)ssRNA	Coronaviridae	"human,vertebrates"
2697049	SARS-CoV-2	SARS-CoV-2	(+)ssRNA	Coronaviridae	"human,vertebrates"
992212	SFTS virus HB29	SFTS virus	(-)ssRNA	Bunyaviridae	"human,invertebrates,vertebrates"
2169992	Brazilian mammarenavirus	Brazilian mammarenavirus	(-)ssRNA	Arenaviridae	human
10383	Saimiriine herpesvirus 2 (strain 11)	Saimiriine herpesvirus 2	dsDNA	Herpesviridae	vertebrates
10384	Saimiriine herpesvirus 2 (strain 488)	Saimiriine herpesvirus 2	dsDNA	Herpesviridae	vertebrates
28292	Sandfly fever sicilian virus	Sandfly fever sicilian virus	(-)ssRNA	Phenuiviridae	"human,invertebrates"
11033	Semliki Forest virus	Semliki Forest virus	(+)ssRNA	Togaviridae	"human,invertebrates,vertebrates"
11195	Sendai virus (strain Fushimi)	Sendai virus	(-)ssRNA	Paramyxoviridae	vertebrates
302272	Sendai virus (strain Ohita)	Sendai virus	(-)ssRNA	Paramyxoviridae	vertebrates
11198	Sendai virus (strain Z)	Sendai virus	(-)ssRNA	Paramyxoviridae	vertebrates
1980490	Seoul orthohantavirus	Seoul orthohantavirus	(-)ssRNA	Hantaviridae	"human,vertebrates"
10269	Sheeppox virus (strain KS-1)	Sheeppox virus	dsDNA	Poxviridae	vertebrates
36436	Simian 11 rotavirus (strain SA11-4F)	Simian 11 rotavirus	dsRNA	Reoviridae	vertebrates
37137	Simian 11 rotavirus (strain SA11-Both)	Simian 11 rotavirus	dsRNA	Reoviridae	vertebrates
11723	Simian immunodeficiency virus	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
31684	Simian immunodeficiency virus (isolate AGM / clone GRI-1)	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
388912	Simian immunodeficiency virus (isolate EK505)	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
11733	Simian immunodeficiency virus (isolate Mm142-83)	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
11738	Simian immunodeficiency virus (isolate PBj14/BCL-3)	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
349975	Simian immunodeficiency virus - agm.tan-1	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
11712	Simian immunodeficiency virus - sm	Simian immunodeficiency virus	ssRNA-RT	Retroviridae	"human,vertebrates"
1979162	Simian parainfluenza virus 5	Simian parainfluenza virus 5	(-)ssRNA	Paramyxoviridae	"human,vertebrates"
11942	Simian retrovirus 1	Simian retrovirus 1	ssRNA-RT	Retroviridae	vertebrates
450149	Simian rotavirus A/SA11-H96	Simian rotavirus	dsRNA	Reoviridae	vertebrates
10633	Simian virus 40	Simian virus 40	dsDNA	Polyomaviridae	"human,vertebrates"
11208	Simian virus 5 (strain W3)	Simian virus 5	(-)ssRNA	Paramyxoviridae	"human,vertebrates"
11034	Sindbis virus	Sindbis virus	(+)ssRNA	Togaviridae	"human,invertebrates,vertebrates"
10345	Suid herpesvirus 1	Suid herpesvirus 1	dsDNA	Herpesviridae	vertebrates
126796	Thogoto virus (isolate SiAr 126)	Thogoto virus	(-)ssRNA	Orthomyxoviridae	"invertebrates,vertebrates"
11084	Tick-borne encephalitis virus	Tick-borne encephalitis virus	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
162013	Tioman virus	Tioman virus	(-)ssRNA	Paramyxoviridae	vertebrates
