Taxid	Virus Name	Parent Viral Name	Baltimore	Family	Host
11105	Hepatitis C virus genotype 1b (isolate BK)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
333284	Hepatitis C virus genotype 1b (isolate Con1)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
421877	Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
421879	Hepatitis C virus genotype 1b (isolate HCR6)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
11116	Hepatitis C virus genotype 1b (isolate Japanese)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
31645	Hepatitis C virus genotype 1b (isolate Taiwan)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
420174	Hepatitis C virus genotype 1b (strain HC-J4) (HCV)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
11113	Hepatitis C virus genotype 2a (isolate HC-J6)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
356411	Hepatitis C virus genotype 2a (isolate JFH-1)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
31647	Hepatitis C virus subtype 1b	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
31762	Hepatitis delta virus (isolate D380)	Hepatitis delta virus	(-)ssRNA	Riboviria	"human,vertebrates"
652674	Hepatitis E virus (isolate Hetian)	Hepatitis E virus	(+)ssRNA	Hepeviridae	"human,vertebrates"
31767	Hepatitis E virus genotype 1 (isolate Human/Burma)	Hepatitis E virus	(+)ssRNA	Hepeviridae	"human,vertebrates"
512346	Hepatitis E virus genotype 1 (isolate human/India/Hyderabad)	Hepatitis E virus	(+)ssRNA	Hepeviridae	"human,vertebrates"
31768	Hepatitis E virus genotype 2 (isolate Human/Mexico)	Hepatitis E virus	(+)ssRNA	Hepeviridae	"human,vertebrates"
512345	Hepatitis E virus genotype 3 (isolate swine/United States/swUS1)	Hepatitis E virus	(+)ssRNA	Hepeviridae	"human,vertebrates"
12475	Hepatitis delta virus	Hepatitis delta virus	(-)ssRNA	Riboviria	"human,vertebrates"
694009	Human SARS coronavirus	SARS-CoV-1	(+)ssRNA	Coronaviridae	"human,vertebrates"
11908	Human T-cell leukemia virus 1	Human T-cell leukemia virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
39015	Human T-cell leukemia virus 1 (african isolate)	Human T-cell leukemia virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11927	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human T-cell leukemia virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
402046	Human T-cell leukemia virus 1 (isolate Mel 15)	Human T-cell leukemia virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11926	Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A)	Human T-cell leukemia virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11909	Human T-cell leukemia virus 2	Human T-cell leukemia virus 2	ssRNA-RT	Retroviridae	"human,vertebrates"
406769	Human T-cell leukemia virus 3 (strain Pyl43)	Human T-cell leukemia virus 3	ssRNA-RT	Retroviridae	"human,vertebrates"
10533	Human adenovirus 1	Human adenovirus C	dsDNA	Adenoviridae	"human,vertebrates"
28282	Human adenovirus 12	Human adenovirus A	dsDNA	Adenoviridae	"human,vertebrates"
46922	Human adenovirus 17	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
10528	Human adenovirus 18	Human adenovirus A	dsDNA	Adenoviridae	"human,vertebrates"
28278	Human adenovirus 19	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
10515	Human adenovirus 2	Human adenovirus C	dsDNA	Adenoviridae	"human,vertebrates"
46925	Human adenovirus 23	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
46926	Human adenovirus 24	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
46930	Human adenovirus 28	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
46932	Human adenovirus 30	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
10529	Human adenovirus 31	Human adenovirus A	dsDNA	Adenoviridae	"human,vertebrates"
46936	Human adenovirus 36	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
52275	Human adenovirus 37	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
46935	Human adenovirus 39	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
28284	Human adenovirus 40	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
10524	Human adenovirus 41	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
46938	Human adenovirus 43	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
46942	Human adenovirus 47	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
28285	Human adenovirus 5	Human adenovirus C	dsDNA	Adenoviridae	"human,vertebrates"
245072	Human adenovirus 51	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
714978	Human adenovirus 55	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
980087	Human adenovirus 58	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
10519	Human adenovirus 7	Human adenovirus B	dsDNA	Adenoviridae	"human,vertebrates"
10527	Human adenovirus 9	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
129875	Human adenovirus A	Human adenovirus A	dsDNA	Adenoviridae	"human,vertebrates"
45659	Human adenovirus B serotype 3	Human adenovirus B	dsDNA	Adenoviridae	"human,vertebrates"
129951	Human adenovirus C	Human adenovirus C	dsDNA	Adenoviridae	"human,vertebrates"
130310	Human adenovirus D	Human adenovirus D	dsDNA	Adenoviridae	"human,vertebrates"
130308	Human adenovirus E	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
28280	Human adenovirus E4	Human adenovirus E	dsDNA	Adenoviridae	"human,vertebrates"
946522	Human alphaherpesvirus 1 strain RH2	Human alphaherpesvirus 1	dsDNA	Herpesviridae	"human,vertebrates"
1235996	Human betacoronavirus 2c EMC/2012	Human betacoronavirus 2c	(+)ssRNA	Coronaviridae	human
122928	Human calicivirus genogroup 1	Human calicivirus 	(+)ssRNA	Caliciviridae	"human,vertebrates"
11137	Human coronavirus 229E	HCoV-229E	(+)ssRNA	Coronaviridae	human
277944	Human coronavirus NL63	HCoV-NL63	(+)ssRNA	Coronaviridae	human
31631	Human coronavirus OC43	HCoV-OC43	(+)ssRNA	Coronaviridae	human
295027	Human cytomegalovirus (strain Merlin)	Human cytomegalovirus	dsDNA	Herpesviridae	human
10363	Human cytomegalovirus (strain Towne)	Human cytomegalovirus	dsDNA	Herpesviridae	human
46018	Echovirus E7	Echovirus E7	(+)ssRNA	Picornaviridae	human
103922	Human enterovirus 71 (strain 7423/MS/87)	Human enterovirus 71	(+)ssRNA	Picornaviridae	human
138950	Enterovirus C	Enterovirus C	(+)ssRNA	Picornaviridae	human
10299	Human herpesvirus 1 (strain 17)	Human herpesvirus 1	dsDNA	Herpesviridae	"human,vertebrates"
10304	Human herpesvirus 1 (strain F)	Human herpesvirus 1	dsDNA	Herpesviridae	"human,vertebrates"
10306	Human herpesvirus 1 (strain KOS)	Human herpesvirus 1	dsDNA	Herpesviridae	"human,vertebrates"
10308	Human herpesvirus 1 (strain Patton)	Human herpesvirus 1	dsDNA	Herpesviridae	"human,vertebrates"
10310	Human herpesvirus 2	Human herpesvirus 2	dsDNA	Herpesviridae	"human,vertebrates"
10312	Human herpesvirus 2 (strain 186)	Human herpesvirus 2	dsDNA	Herpesviridae	"human,vertebrates"
10315	Human herpesvirus 2 (strain HG52)	Human herpesvirus 2	dsDNA	Herpesviridae	"human,vertebrates"
10335	Human herpesvirus 3	Human herpesvirus 3	dsDNA	Herpesviridae	human
10376	Human herpesvirus 4	Epstein-Barr virus	dsDNA	Herpesviridae	"human,vertebrates"
10377	Human herpesvirus 4 (strain B95-8)	Epstein-Barr virus	dsDNA	Herpesviridae	"human,vertebrates"
10359	Human herpesvirus 5	Human cytomegalovirus	dsDNA	Herpesviridae	human
10360	Human herpesvirus 5 (strain AD169)	Human cytomegalovirus	dsDNA	Herpesviridae	human
311339	Human herpesvirus 5 (strain Toledo)	Human cytomegalovirus	dsDNA	Herpesviridae	human
32603	Human herpesvirus 6A	Human herpesvirus 6	dsDNA	Herpesviridae	human
10370	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A)	Human herpesvirus 6	dsDNA	Herpesviridae	human
32604	Human herpesvirus 6B	Human herpesvirus 6	dsDNA	Herpesviridae	"human,vertebrates"
36351	Human herpesvirus 6B (strain Z29)	Human herpesvirus 6	dsDNA	Herpesviridae	"human,vertebrates"
10372	Human herpesvirus 7	Human herpesvirus 7	dsDNA	Herpesviridae	human
37296	Human herpesvirus 8	Kaposi's sarcoma-associated herpesvirus	dsDNA	Herpesviridae	"human,vertebrates"
868565	Human herpesvirus 8 (strain GK18)	Kaposi's sarcoma-associated herpesvirus	dsDNA	Herpesviridae	"human,vertebrates"
435895	Human herpesvirus 8 type M	Kaposi's sarcoma-associated herpesvirus	dsDNA	Herpesviridae	"human,vertebrates"
11676	Human immunodeficiency virus 1	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11685	Human immunodeficiency virus 1 (isolate ARV2/SF2)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11678	Human immunodeficiency virus 1 (isolate BH10)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11686	Human immunodeficiency virus 1 (isolate BRU)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11689	Human immunodeficiency virus 1 (isolate ELI)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11706	Human immunodeficiency virus 1 (isolate HXB2)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11707	Human immunodeficiency virus 1 (isolate HXB3)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11696	Human immunodeficiency virus 1 (isolate MN)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11698	Human immunodeficiency virus 1 (isolate NY5)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11679	Human immunodeficiency virus 1 (isolate PCV12)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11691	Human immunodeficiency virus 1 (isolate SF162)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
11709	Human immunodeficiency virus 2	Human immunodeficiency virus 2	ssRNA-RT	Retroviridae	human
11714	Human immunodeficiency virus 2 (ISOLATE BEN)	Human immunodeficiency virus 2	ssRNA-RT	Retroviridae	human
11717	Human immunodeficiency virus 2 subtype A (isolate Ghana-1)	Human immunodeficiency virus 2	ssRNA-RT	Retroviridae	human
11720	Human immunodeficiency virus 2 subtype A (isolate ROD)	Human immunodeficiency virus 2	ssRNA-RT	Retroviridae	human
362651	Human immunodeficiency virus type 1 (isolate YU2)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
290579	Human immunodeficiency virus type 1 group M subtype B (isolate Lai)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
388812	Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
388814	Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
388826	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056)	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
388819	Human immunodeficiency virus type 1 group N	Human immunodeficiency virus 1	ssRNA-RT	Retroviridae	"human,vertebrates"
655603	Human klassevirus 1	Human klassevirus 1	(+)ssRNA	Picornaviridae	human
694067	Human metapneumovirus (strain CAN97-83)	Human metapneumovirus	(-)ssRNA	Pneumoviridae	"human,vertebrates"
334203	Human papillomavirus 1	Human papillomavirus 1	dsDNA	Papillomaviridae	human
333759	Human papillomavirus type 10	Human papillomavirus 10	dsDNA	Papillomaviridae	human
10580	Human papillomavirus type 11	Human papillomavirus 11	dsDNA	Papillomaviridae	human
333760	Human papillomavirus type 16	Human papillomavirus 16	dsDNA	Papillomaviridae	human
333761	Human papillomavirus type 18	Human papillomavirus 18	dsDNA	Papillomaviridae	"human,vertebrates"
10583	Human papillomavirus type 1a	Human papillomavirus 1a	dsDNA	Papillomaviridae	human
31547	Human papillomavirus type 20	Human papillomavirus 20	dsDNA	Papillomaviridae	human
333762	Human papillomavirus type 26	Human papillomavirus 26	dsDNA	Papillomaviridae	human
10614	Human papillomavirus type 3	Human papillomavirus 3	dsDNA	Papillomaviridae	human
10585	Human papillomavirus type 31	Human papillomavirus 31	dsDNA	Papillomaviridae	human
333763	Human papillomavirus type 32	Human papillomavirus 32	dsDNA	Papillomaviridae	human
10586	Human papillomavirus type 33	Human papillomavirus 33	dsDNA	Papillomaviridae	human
10587	Human papillomavirus type 35	Human papillomavirus 35	dsDNA	Papillomaviridae	human
37958	Human papillomavirus type 37	Human papillomavirus 37	dsDNA	Papillomaviridae	human
37959	Human papillomavirus type 38	Human papillomavirus 38	dsDNA	Papillomaviridae	human
10588	Human papillomavirus type 39	Human papillomavirus 39	dsDNA	Papillomaviridae	human
10617	Human papillomavirus type 4	Human papillomavirus 4	dsDNA	Papillomaviridae	human
10593	Human papillomavirus type 45	Human papillomavirus 45	dsDNA	Papillomaviridae	human
333923	Human papillomavirus type 5	Human papillomavirus 5	dsDNA	Papillomaviridae	human
10595	Human papillomavirus type 51	Human papillomavirus 51	dsDNA	Papillomaviridae	human
10598	Human papillomavirus type 58	Human papillomavirus 58	dsDNA	Papillomaviridae	human
31552	Human papillomavirus type 6	Human papillomavirus 6	dsDNA	Papillomaviridae	human
45240	Human papillomavirus type 68	Human papillomavirus 68	dsDNA	Papillomaviridae	human
10600	Human papillomavirus type 6b	Human papillomavirus 6b	dsDNA	Papillomaviridae	human
39457	Human papillomavirus type 70	Human papillomavirus 70	dsDNA	Papillomaviridae	human
10579	Human papillomavirus type 8	Human papillomavirus 8	dsDNA	Papillomaviridae	human
10621	Human papillomavirus type 9	Human papillomavirus 9	dsDNA	Papillomaviridae	"human,vertebrates"
10602	Human papillomavirus type ME180	Human papillomavirus ME180	dsDNA	Papillomaviridae	human
1979160	Human parainfluenza virus 2	Human parainfluenza virus 2	(-)ssRNA	Paramyxoviridae	"human,vertebrates"
11214	Human parainfluenza virus 2 (strain Toshiba)	Human parainfluenza virus 2	(-)ssRNA	Paramyxoviridae	"human,vertebrates"
103911	Human parechovirus 1 (strain Harris)	Human parechovirus 1	(+)ssRNA	Picornaviridae	"human,vertebrates"
10632	Human polyomavirus (type JC)	Human polyomavirus (type JC)	dsDNA	Polyomaviridae	human
1891762	Human polyomavirus 1	Human polyomavirus 1	dsDNA	Polyomaviridae	"human,vertebrates"
11250	Human respiratory syncytial virus	Human respiratory syncytial virus	(-)ssRNA	Pneumoviridae	human
11259	Human respiratory syncytial virus (strain A2)	Human respiratory syncytial virus	(-)ssRNA	Pneumoviridae	human
410078	Human respiratory syncytial virus S2	Human respiratory syncytial virus	(-)ssRNA	Pneumoviridae	human
12131	Human rhinovirus B14	Human rhinovirus 	(+)ssRNA	Picornaviridae	human
11963	Human spumaretrovirus	Human spumaretrovirus	ssRNA-RT	Retroviridae	human
387139	Influenza A virus (A/Aichi/2/1968 H3N2)	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
1663996	Influenza A virus (A/Anhui/1-YK_RG01/2013(H7N9))	Influenza A virus (H7N9)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
383596	Influenza A virus (A/Beijing/39/1975(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
88776	Influenza A virus (A/Brevig Mission/1/1918 H1N1)	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
642261	Influenza A virus (A/California/08/2009(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
353437	Influenza A virus (A/Canterbury/02/2005(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
382838	Influenza A virus (A/Duck/Germany/1949 H10N7)	Influenza A virus (H10N7)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
303316	Influenza A virus (A/Hatay/2004/(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
383543	Influenza A virus (A/Hickox/1940 H1N1)	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
351266	Influenza A virus (A/Hong Kong/43/1975(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
155218	Influenza A virus (A/Hong Kong/482/97(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
480019	Influenza A virus (A/Moscow/10/1999(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
381512	Influenza A virus (A/New Caledonia/20/1999(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
643960	Influenza A virus (A/New York/1682/2009(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
335361	Influenza A virus (A/New York/238/2005(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
335341	Influenza A virus (A/New York/392/2004(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
381513	Influenza A virus (A/Panama/2007/1999(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
158611	Influenza A virus (A/Paris/908/97(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
1343791	Influenza A virus (A/Puerto Rico/8-LVD3/1934(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
284213	Influenza A virus (A/Qa/Thailand/57/2004(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
464623	Influenza A virus (A/Solomon Islands/3/2006(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
669984	Influenza A virus (A/Taiwan/126/2009(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
380964	Influenza A virus (A/Texas/36/1991(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
266827	Influenza A virus (A/Thailand/1(KAN-1)/2004(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
440390	Influenza A virus (A/Turkey/651242/2006(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
387262	Influenza A virus (A/Turkey/Canada/1963 H6N8)	Influenza A virus (H6N8)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
381517	Influenza A virus (A/Udorn/307/1972 H3N2)	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
392809	Influenza A virus (A/Victoria/3/1975(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
644788	Influenza A virus (A/Viet Nam/1194/2004(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
284218	Influenza A virus (A/Viet Nam/1203/2004(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
261268	Influenza A virus (A/Vietnam/1196/2004(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
382835	Influenza A virus (A/WSN/1933(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
381518	Influenza A virus (A/Wilson-Smith/1933 H1N1)	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
393902	Influenza A virus (A/Wisconsin/67/2005(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
480024	Influenza A virus (A/Wyoming/03/2003(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
680716	Influenza A virus (A/chicken/China/27402/1997(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
329599	Influenza A virus (A/chicken/Guangdong/6/97(H9N2))	Influenza A virus (H9N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
363744	Influenza A virus (A/chicken/Kurgan/3/2005(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
270485	Influenza A virus (A/chicken/Nakorn-Patom/Thailand/CU-K2/2004(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
251307	Influenza A virus (A/chicken/Netherlands/1/03(H7N7))	Influenza A virus (H7N7)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
402527	Influenza A virus (A/chicken/Scotland/1959(H5N1))	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
380337	Influenza A virus (A/equine/Prague/1/1956(H7N7)	Influenza A virus (H7N7)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
437607	Influenza A virus (A/hvPR8/34(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
437606	Influenza A virus (A/lvPR8/34(H1N1))	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
352515	Influenza A virus (A/mallard/Netherlands/12/2000(H7N3))	Influenza A virus (H7N3)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
442553	Influenza A virus (A/migratory duck/Hong Kong/MPS180/2003(H4N6))	Influenza A virus (H4N6)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
997555	Influenza A virus (A/reassortant/CDC2005712034(California/07/2004 x Puerto Rico/8/1934)(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
384493	Influenza A virus (A/seal/Mass/1/1980(H7N7))	Influenza A virus (H7N7)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
385599	Influenza A virus (A/udorn/1972(H3N2))	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
130763	Influenza A virus (strain A/Hong Kong/156/1997 H5N1 genotype Gs/Gd)	Influenza A virus (H5N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
211044	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
221016	Influenza A virus (strain A/Qu/7/1970 H3N2)	Influenza A virus (H3N2)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
31663	Influenza A virus (strain A/Turkey/Bethlehem-Glilit/1492-B/1982 H1N1)	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
641501	Influenza A virus (swl A/California/04/2009 H1N1)	Influenza A virus (H1N1)	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
518987	Influenza B virus (B/Lee/1940)	Influenza B virus	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
11553	Influenza C virus (C/Ann Arbor/1/1950)	Influenza C virus	(-)ssRNA	Orthomyxoviridae	"human,vertebrates"
11746	Jaagsiekte sheep retrovirus	Jaagsiekte sheep retrovirus	ssRNA-RT	Retroviridae	vertebrates
11072	Japanese encephalitis virus	Japanese encephalitis virus	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
2169991	Junin mammarenavirus	Junin mammarenavirus	(-)ssRNA	Arenaviridae	"human,vertebrates"
11078	Kunjin virus (strain mrm61c)	Kunjin virus 	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
796210	La Crosse virus (isolate L78)	La Crosse virus	(-)ssRNA	Peribunyaviridae	"human,invertebrates,vertebrates"
33727	Lake Victoria marburgvirus (strain Musoke-80)	Lake Victoria marburgvirus 	(-)ssRNA	Filoviridae	"human,vertebrates"
