Branch	Gene
0	SLC45A4
0	RNF10
0	ZNF839
0	ZDHHC6
0	GRAMD1B
2	RNH1
0	NDUFS1
0	RB1CC1
0	ERP44
0	ALAS1
0	BIRC3
0	AKAP11
0	GLRX2
1	SNAPC1
0	DERA
0	STRAP
0	ABCC2
0	DEF6
0	PLEKHO1
0	GCLM
0	UBR2
5	EHD2
0	DEPDC1
0	CCDC28A
0	RRAGD
0	HSF2
0	PHF20
4	HSD17B6
0	NR1H3
0	TYMP
0	NCAPH2
0	TOMM34
0	SEC63
0	KPNA6
0	VIM
3	FAS
1	RNASET2
1	CD44
0	KCNG1
0	AGPAT4
3	SLAMF7
8	BTN3A1
1	MIPEP
0	PRKCH
1	INSRR
3	IFNGR1
0	B4GALT7
1	SH2D2A
1	VRK2
3	TNFRSF1B
0	VEZT
0	POU2F2
0	BRD9
0	SNX1
0	TBPL1
0	ARNTL2
1	BCLAF1
0	SLC39A9
0	ANK1
2	IBSP
0	TFB1M
0	RABEP1
1	HMGB3
0	NUP160
1	BAK1
0	MUSK
1	IKZF2
0	GRN
0	FAM13B
0	ARHGAP31
3	CENPQ
0	SARS
0	RANBP3
0	ARID4A
0	TSSC1
0	PNPLA6
0	IFT88
0	ALG1
0	ZCCHC8
0	ABCF2
0	CHPF2
0	LRRC7
0	FUT8
0	UBA6
0	GAB2
0	ATP6V0A1
0	PIAS1
0	SLC4A7
0	APBA2
0	MAP2K3
4	EFCAB1
3	TMSB10
0	ASTE1
0	RNF19A
0	PEX3
0	GABARAPL2
0	MYOC
0	SH3YL1
0	FAM136A
0	VCL
1	DEPDC1B
0	DAPK2
0	NSMAF
1	ADSS
3	STAP1
0	TIMP2
0	RFC1
0	TBC1D23
0	CUL3
0	MYOM2
0	OTC
3	CYP46A1
0	ZZZ3
1	SLC18A1
0	USP2
0	CASR
2	TUBG2
1	RPL26L1
0	FLT4
0	NSUN2
0	FBXO42
0	MFAP3
0	MRI1
0	METTL1
0	HOXC8
0	AGA
0	PI4K2B
0	BOD1L1
1	MAT2B
0	TLL1
0	EDC4
0	TRIO
0	VCAN
0	CLEC16A
0	CDH1
0	SKIV2L2
0	DNAH5
0	ZFYVE16
0	FAM65A
0	C6
0	RAI14
1	SOX30
0	PNKP
0	BEST2
0	PHLPP2
0	SPDL1
0	STAU2
0	PQLC2
0	CTNS
0	RTN4R
0	PHF23
1	CDH10
0	INPP4A
0	RAB27B
0	PSMA4
0	MYO16
0	LSG1
0	PARP3
0	TNC
0	THAP3
1	FAM65C
0	TDP1
0	AIFM2
5	C2orf83
0	SPATA7
0	MED17
0	RETSAT
0	CAPG
0	AP2S1
0	USH2A
2	ZPBP
0	TG
1	ADAM28
0	BARX2
0	DCUN1D1
0	PHF15
0	ZIC2
1	LCP2
0	TRIT1
0	ADRB1
3	GUCA2B
2	CUL7
0	CTNNA1
0	PHKA2
0	CNTLN
0	EPHA3
0	HSPA5
0	DSG2
2	GEMIN8
0	OFD1
0	GPM6B
0	PREX2
0	WDR37
0	YTHDC2
2	CTPS2
0	ATP6V1H
0	POLR2B
0	FAM214A
1	ARAP2
0	TPR
0	CP
0	KIAA0556
0	DTNBP1
0	XK
1	ANO2
0	C12orf4
4	SCML1
0	WWC3
0	ARHGAP6
1	FAM184B
0	MAP4
0	GOPC
1	ROS1
0	USP28
0	HDAC9
0	TSPAN17
0	NOP16
0	CC2D2A
1	RRM2B
0	ZNF800
3	TNFRSF17
0	SNX29
0	LMO3
0	MRPS10
0	GUCA1A
0	RSF1
0	VPS13D
0	CELF2
1	FAM120A
0	R3HDM1
0	COL9A2
2	KITLG
0	ERCC8
0	ADAMTS6
0	H6PD
1	VAMP3
1	PER3
1	UTS2
3	TNFRSF9
0	EPN3
0	LTBP1
0	RCN1
3	ELN
0	RFC2
0	ARID1B
0	CLPTM1L
0	NEDD4L
1	FOXP3
0	PPP1R3F
0	HEXB
1	PTCD2
0	KIAA2022
0	JKAMP
0	DKK3
1	ARHGEF5
1	NFE2L3
0	MCUR1
0	LIMA1
1	LETMD1
0	SLC4A8
0	LAMC3
0	PTGER3
1	TNIP3
0	MAPK9
2	COL23A1
0	BCAR1
0	FAM160A2
0	HERPUD1
0	HOMER3
0	RAD51
0	POLQ
0	PIK3CB
0	CYBA
2	THOC3
3	HEBP2
1	MPHOSPH9
0	PLEKHA5
1	PRSS8
0	SIKE1
0	RRP12
1	FNIP2
0	MSMO1
0	TTC17
0	ALX4
0	FSTL4
0	FOXN3
0	METTL24
0	MRTO4
4	NNAT
0	USE1
0	MCF2L2
0	NRIP2
0	LAMA3
0	AP5M1
0	ANAPC4
0	KCNQ1
0	TRAPPC3
0	THRAP3
1	PHPT1
0	ENTPD2
1	LY75
0	ARID4B
0	OPN3
0	SDCCAG8
0	PTPRN
0	HHAT
0	KIF1B
0	FOXC1
0	TBC1D22A
0	SYNE2
0	PLEKHH1
0	ATP9A
0	SPO11
0	CBLN4
0	CHRDL2
0	FAM168A
0	RELT
0	GALC
0	NOP58
0	SZRD1
0	KCNH2
0	CUL1
0	FAM114A2
0	CYFIP2
0	TAB2
2	GINM1
1	EIF2AK2
0	USP36
0	KMT2C
0	MCOLN3
0	CCDC85A
0	PUM2
0	MRPL43
0	ITIH4
0	ITIH1
0	C4orf27
0	ZFR
5	ZNF280C
0	NPFFR2
0	PHF21B
1	TRAF1
0	RC3H2
0	PCGF2
3	IL17RB
1	TRAF3IP2
2	GYG2
0	DCBLD2
6	SERPINB3
0	SOAT1
2	PKP2
0	MSH4
0	F7
0	GDI2
0	PRDM1
0	ATG5
0	TMCC3
0	PITHD1
2	MTA3
0	USP13
0	ATP11B
0	LAMC2
0	CDK14
0	SEC61A1
0	PPP1R12A
0	RASGRF1
0	CAMK2B
0	CROCC
0	POLR3E
1	ATP2B4
1	ZC3H11A
0	RIOK2
0	YIPF1
0	NDC1
0	DGKG
3	FLYWCH1
0	UNKL
0	TBXAS1
0	PARP12
0	ALDH18A1
0	TARBP1
0	PET112
0	MXD1
0	CDK17
0	DNAJC25
1	SLC2A3
0	PSD
0	CTDP1
1	YBX3
1	STYK1
0	WNK1
0	CCAR1
0	OGFR
0	GNA15
0	CREB3L3
0	PIGV
0	PTPRU
0	SNRNP40
0	RIMBP2
0	COL11A1
0	QSER1
0	MPC1
0	ACAA1
2	BCAT1
0	HDAC7
0	LZTS1
0	PRDM6
0	WNT8A
4	SPAG4
0	NCKAP1
0	MRPS35
0	GUCY1B3
0	SFSWAP
0	TNK2
0	MON2
1	CDH3
2	ARSF
1	GPBP1
0	DGAT2
5	ZNF112
0	CS
0	LTK
0	MRPS24
0	ELMO2
0	WAPAL
0	VMP1
0	APPBP2
0	POLD1
0	SEZ6
0	EIF4B
5	SLC6A16
0	GLTSCR1
0	SPHK2
0	RPL18
4	CA11
0	ISOC2
0	U2AF2
0	EPN1
0	MED29
0	AHRR
0	GSC2
5	ZNF275
0	MTMR1
0	GPC1
0	ADCK1
0	HAGH
0	RNF4
0	CASP8
0	LIMCH1
0	ASUN
0	TM7SF3
0	DLX3
1	SPA17
3	TSPAN32
1	WISP2
0	DMRT3
1	ST3GAL6
1	ATP2C2
0	NGFR
0	CDON
0	TAF2
0	HIPK2
0	TNPO3
0	MEF2BNB-MEF2B
0	RFXANK
0	TMEM161A
0	LPAR2
0	CTSA
1	SUGP2
0	SLC12A2
0	SNX24
1	EYA2
0	CNN2
0	ABCA7
0	SNCAIP
0	DDX20
0	BTBD1
2	FAR2
2	BCAS1
0	POU1F1
4	CHI3L2
0	SBNO2
0	PMS1
1	HMG20B
0	CALCRL
0	TAF11
0	ANKS1A
0	AP3D1
2	ZNF76
0	SLC9A3R2
0	NTHL1
0	UHRF1BP1
0	GNAI3
0	IPO5
0	OAT
0	WDR3
0	PKN2
0	WDR18
0	TRAM2
0	NTN1
0	GLP2R
0	MCM10
0	DGKA
0	ERBB3
4	ROPN1
0	ANKRD44
0	KARS
0	ADAT1
0	PDIA5
0	TBC1D22B
3	NDUFB4
0	SPEN
0	MYLK
0	ZC3H15
0	MAP2K4
0	TMEM206
0	SNAP91
0	SLK
0	CYB5R4
0	COL17A1
0	GSTO2
2	SEC61A2
1	PRKCQ
0	TLE2
0	ASB1
0	FAM107B
1	ME1
0	TBC1D1
1	CDK13
0	MTHFD2
0	SLC9A7
0	FOXJ2
0	YBX1
0	PDE4A
0	PPP2R5A
0	CTNNA2
0	ELAVL1
0	TIE1
0	DIP2B
0	SMARCD1
0	KDM4A
0	NFYC
1	ZMYND12
0	SLC9A3
0	NGEF
0	ASPM
4	CD84
0	ELOVL1
0	SPI1
0	ZNRD1
0	MPPED2
1	CLDN18
0	ZBTB11
0	ATXN3
0	GOLGA5
0	FGFR2
0	LRRC40
1	ISOC1
0	EML1
0	TRMT11
0	THUMPD1
1	MSANTD3
0	KIF26A
0	ATG2B
0	ARFGEF1
12	ACSM2B
0	ZFAT
0	MTFR1
1	STAG3
0	FECH
0	MYO9A
0	PFKP
0	IDI1
4	SP100
0	KLF6
0	PPAP2A
0	NEO1
0	TRAM1
1	PHKA1
0	CACNB1
0	EVI5
0	STOML1
0	PKM
0	DHX29
0	DNTTIP2
0	METTL22
0	TP53BP1
4	TRO
0	RRP15
1	RHOA
0	DHX8
0	PRKCZ
0	IARS2
0	SYT1
0	NAV3
0	IDH3G
0	ROGDI
0	PDZD4
0	ATP2B3
0	ROCK1
0	CBFB
0	PDK3
0	HYAL2
0	HDAC4
0	RASSF1
0	FGFR3
3	IFI35
0	HEATR6
0	COASY
0	PLEKHH3
0	MEF2A
0	OTUD5
0	TFE3
0	TBC1D25
0	ACSL4
0	INPP5A
0	GPKOW
0	GRIPAP1
0	FTSJ1
3	PRR11
1	REEP1
0	ATP11A
0	POLR1A
0	LAPTM4A
0	TTC7A
0	IP6K2
0	STON1-GTF2A1L
0	SRBD1
0	CYFIP1
0	KIF2A
0	RASGRP2
0	PSME4
0	IFT80
0	SIRT2
0	ERLEC1
5	PPP2R5B
0	PYGM
8	PAGE1
0	PITX1
0	TRPC7
0	MAST4
0	GPR116
0	SDK2
3	ADAM7
0	NUP133
0	NUCKS1
0	VPS35
0	DNAJA2
1	BCL3
0	KCNAB2
1	ABCC9
4	GAL
0	FUNDC1
0	MAOB
0	RORA
0	DRD4
0	TGFBR3
0	KIAA1107
2	PLA2G10
0	HES2
1	ATP1B3
0	NEDD4
0	PIGB
0	MAPK6
0	GNB5
0	RAB27A
0	CECR5
0	UFD1L
1	LRP6
0	GUCY2C
11	SCT
0	PHRF1
0	IKBKAP
0	NUCB2
0	PFN2
0	PTPN3
0	SPTB
0	DAPP1
0	FGF10
0	SLC44A1
0	TMEM260
0	SMG6
0	EXOC5
0	CLTCL1
0	FGF22
0	FSTL3
0	DGCR2
0	RNF126
0	MNT
0	ZXDC
0	JMJD6
0	POLB
0	ST6GALNAC1
0	WIPI1
0	FRMPD1
0	GBA2
0	NDST1
0	ASNS
0	AP3M2
0	CNGB1
1	ST6GALNAC2
0	CHAT
0	PABPC1
1	TESK2
0	C16orf80
0	CSNK2A2
0	PTPN21
0	EIF2B3
0	CAMK2A
3	TCOF1
0	CDC42
0	OSBPL3
0	EPHA8
0	SLC12A3
0	RAD18
0	ATP2B1
0	TRPM5
0	NCK2
0	MAP4K4
0	MGAT4A
0	RPL31
0	WDR1
0	SNX13
3	MS4A12
0	ARHGAP10
2	RPS6KA2
0	ING3
0	VASH1
0	LMCD1
0	WBSCR22
0	SEL1L
0	TRIP13
0	ATP6AP1
0	TCF3
0	TRIB2
0	DAZAP1
0	MBD3
2	PRLH
0	HLTF
0	FAM50A
0	FAM3A
0	CPSF1
0	MYO3B
0	CYBRD1
2	CDH19
0	PDCD2
1	SLC6A15
2	RDH11
0	PRKACA
0	LPHN1
3	SPP2
0	ACTN1
0	ZFYVE26
1	RPS6KA6
0	EPN2
2	LIMS2
0	ASIC4
0	SPEG
0	LNX1
1	ALDH3A2
0	TFRC
0	SREBF1
0	TRPC5
0	AFF4
0	UBE2D1
0	MPP5
1	RHOBTB1
13	ASAH2C
0	SMC1A
0	HSD17B10
0	MARK2
0	HMMR
0	CHFR
0	TRHDE
0	P4HA2
3	FCGR2B
0	NFATC3
0	TRNT1
0	ACADVL
0	STK10
0	FBXW11
0	ACAP1
2	CRMP1
0	EVC
0	DERL2
1	SIDT1
0	NDE1
0	MRVI1
0	TMEM38A
0	AP1M1
0	PVR
0	IKBKG
0	XRCC1
0	SCARB1
1	CYP2W1
0	MCM2
0	MOV10L1
0	PANX2
